name,type,founding_family_or_principal,hq_city,hq_state,hq_country,aum_estimate_usd_billions,founded_year,crd_number,employees_estimate,source,notes,confidence_score
Lauder Family Office,SFO,Lauder Family (Estee Lauder),New York,NY,US,,,,,Forbes,Estee Lauder Companies founding family,68
Waycrosse,SFO,Cargill / MacMillan Family,Wayzata,MN,US,,,,,Forbes,One of the wealthiest family offices in the US; Cargill is the largest private company in America by revenue,68
Cox Family Office,SFO,Cox Family (Cox Enterprises),Atlanta,GA,US,,,,,Bloomberg,Cox Enterprises is among the largest private US media companies; family office manages long-term holdings,62
Hearst Family Office,SFO,Hearst Family,New York,NY,US,,,,,Forbes,Manages assets of the Hearst media empire founding family,68
SC Johnson Family Office,SFO,Johnson Family (SC Johnson),Racine,WI,US,,,,,Forbes,SC Johnson household products founding family; one of the largest private family offices in the Midwest,62
Omidyar Network,SFO,Pierre Omidyar,Redwood City,CA,US,,2004,,,Bloomberg,eBay founder family office with a significant philanthropy component; invests in democracy and economic inclusion,92
1888 Management,SFO,Koch Family,Wichita,KS,US,,,,,Bloomberg,Koch brothers primary family investment vehicle; named for year Koch business was founded,78
Robertson Family Office,SFO,Julian Robertson,New York,NY,US,,2000,,,Bloomberg,Tiger Management founder; converted Tiger to a personal family office after closing to outside investors in 2000; seeded many Tiger Cub hedge funds,83
Dunavant Enterprises,SFO,Dunavant Family,Memphis,TN,US,,,,,Forbes,Cotton trading family; manages multigenerational wealth through this entity,62
Capnor,SFO,Louis De Clercq,,,US,,,,,Research Report,Founded by ex-Goldman Sachs banker; recently merged with Calista Direct Investors,85
Calista Direct Investors,SFO,,,,US,,,,,Research Report,Merged with Capnor; cited in Bloomberg 2025 family office coverage,80
Willett Advisors,SFO,Bloomberg Family,New York,NY,US,60,,,,Bloomberg,Michael Bloomberg personal investment and philanthropy vehicle; manages Bloomberg Philanthropies assets,90
Bezos Family Foundation,SFO,Bezos Family,Seattle,WA,US,,,,,Bloomberg,Separate from Bezos Expeditions; philanthropy-focused family office arm of the Bezos family,78
Paul Tudor Jones Family Office,SFO,Paul Tudor Jones,Greenwich,CT,US,,,,,Bloomberg,Tudor Investment Corp founder; manages personal assets alongside continuing hedge fund operations,72
Zuckerberg Family Office,SFO,Mark Zuckerberg,Palo Alto,CA,US,,,,,Bloomberg,Meta founder personal wealth management; connected to Chan Zuckerberg Initiative philanthropic entity,65
Andreessen Family Office,SFO,Marc Andreessen,Atherton,CA,US,,,,,Bloomberg,a16z co-founder personal family office; separate from the venture firm,58
Exor,Listed/SFO,Agnelli Family (Fiat / Ferrari),Amsterdam,,Netherlands,35,1927,,,Bloomberg,Publicly listed investment holding company; controlled by the Agnelli family; holds stakes in Ferrari Stellantis Juventus and Economist,100
Mousse Partners,SFO,Wertheimer Family (Chanel),New York,NY,US,,,,,Bloomberg,Chanel-owning family investment vehicle; operates between New York and Paris,88
Grosvenor Group,SFO,Duke of Westminster / Grosvenor Family,London,,UK,,1677,,,Bloomberg,One of the world oldest family offices; manages Grosvenor estate including Mayfair and Belgravia London real estate,95
Hinduja Family Office,SFO,Hinduja Family,London,,UK,,,,,Forbes,Indian-British conglomerate family; among the wealthiest families in the UK,72
Dyson Family Office,SFO,James Dyson,Singapore,,Singapore,,2019,,,Bloomberg,Vacuum cleaner billionaire; moved headquarters to Singapore in 2019,85
Porsche-Piech Family Office,SFO,Porsche / Piech Family,Stuttgart,,Germany,,,,,Bloomberg,Porsche and Volkswagen founding family investment vehicle,72
Quandt Family Office,SFO,Quandt Family,Munich,,Germany,,,,,Bloomberg,BMW founding family; one of the wealthiest families in Germany,72
Albrecht Family Office,SFO,Albrecht Family (Aldi),Mulheim,,Germany,,,,,Forbes,Aldi supermarket founding family; one of the wealthiest in Europe,68
Schwarz Group Family Office,SFO,Schwarz Family (Lidl / Kaufland),Neckarsulm,,Germany,,,,,Forbes,Lidl and Kaufland retail founding family; among the wealthiest private families in Europe,62
Reimann Family Office,SFO,Reimann Family (JAB Holding),Luxembourg,,Luxembourg,,,,,Bloomberg,JAB Holding Company parent; controls Keurig Dr Pepper Pret a Manger and other consumer brands,82
Brenninkmeyer Family Office,SFO,Brenninkmeyer Family (C&A),Amsterdam,,Netherlands,,,,,Bloomberg,C&A fashion retail founding family; Dutch-German origin; maintains strict privacy,60
Verlinvest,SFO,de Spoelberch / de Mevius / van Damme Families,Brussels,,Belgium,3,,,,Bloomberg,AB InBev founding families private investment vehicle; invests in consumer brands globally,90
Li Ka-shing Family Office,SFO,Li Ka-shing,Hong Kong,,Hong Kong,38,,,,Bloomberg,Hong Kong richest man; CK Holdings and Hutchison patriarch; one of Asia most influential family offices,85
Premji Invest,SFO,Azim Premji,Bengaluru,,India,20,2006,,,Bloomberg,Wipro founder personal investment and philanthropy vehicle; one of India largest family offices,95
Olayan Group,SFO,Olayan Family,Riyadh,,Saudi Arabia,,,,,Bloomberg,Saudi industrial and investment conglomerate; among the largest family offices in the Middle East,88
Kingdom Holding,Listed/SFO,Alwaleed bin Talal,Riyadh,,Saudi Arabia,,,,,Bloomberg,Saudi prince publicly listed investment company; holds stakes in Citigroup Twitter and Four Seasons,100
Hin Leong Trading,SFO,OK Lim,Singapore,,Singapore,,1963,,,Research Report,OK Lim convicted Singapore 2024; sentenced to 17.5 years; oil trading empire collapsed 2020 owing $3.5B,100
Panda Enterprise / LFI Singapore,SFO,Zhong Renhai,Singapore,,Singapore,,,,,Research Report,2024 staff fraud case; $55M allegedly siphoned by employees; part of broader Singapore money laundering scrutiny,100
Rockefeller Capital Management,MFO,Rockefeller Family (origin),New York,NY,US,120,1882,,,Bloomberg,Founded 1882 as single-family office for the Rockefeller family; now a multi-family office serving outside clients,98
Bessemer Trust,MFO,Phipps Family (origin),New York,NY,US,130,1907,,,Bloomberg,Started as SFO for Henry Phipps Jr. (Carnegie Steel partner); now one of the largest multi-family offices in the US,98
Glenmede Trust,MFO,Pew Family (origin),Philadelphia,PA,US,47,1956,,,Bloomberg,Founded as SFO for Pew Charitable Trust; now an independent MFO managing assets for roughly 220 client families,95
Pitcairn,MFO,Pitcairn Family (origin),Jenkintown,PA,US,7,1923,,,Bloomberg,Pittsburgh Plate Glass / PPG Industries founding family office; now serves approximately 180 client families as MFO,92
ICONIQ Capital,MFO,Silicon Valley founders (multiple),San Francisco,CA,US,80,2011,,,Bloomberg,MFO serving Mark Zuckerberg Jack Dorsey and other tech founders; one of the most prominent next-generation family office structures,90
Sequoia Heritage,MFO,Sequoia Capital founders,Menlo Park,CA,US,,2010,,,Bloomberg,Investment vehicle for Sequoia Capital partners and employees personal wealth; operates alongside the venture firm,78
Whittier Trust,MFO,Whittier Family (origin),South Pasadena,CA,US,20,1989,,,Bloomberg,Started to serve Southern California oil family wealth; now a California-focused MFO,85
Laird Norton Wealth Management,MFO,Laird / Norton Family (origin),Seattle,WA,US,6,1967,,,Bloomberg,Weyerhaeuser timber family origin; now an independent Pacific Northwest MFO,85
GenSpring Family Offices,MFO,,Jupiter,FL,US,15,1986,,,Bloomberg,One of the larger US multi-family offices by number of client families,78
Tolleson Wealth Management,MFO,,Dallas,TX,US,10,1991,,,Bloomberg,Dallas-based MFO serving Texas-area wealthy families,80
Ascent Private Capital Management,MFO,,Minneapolis,MN,US,12,2008,,,Bloomberg,US Bancorp subsidiary serving ultra-high-net-worth families,88
Silver Bridge Advisors,MFO,,Boston,MA,US,4,2008,,,Bloomberg,Boston-based MFO founded by former Goldman Sachs and JP Morgan private wealth advisors,75
Highmount Capital,MFO,,New York,NY,US,6,2006,,,Bloomberg,New York City boutique MFO; founded by former Bessemer Trust professionals,73
Pathstone,MFO,,Englewood,NJ,US,100,,,,Bloomberg,One of the fastest-growing US MFOs; expanded significantly through acquisitions; nationwide footprint,85
Offit Capital,MFO,,New York,NY,US,14,1999,,,Bloomberg,New York City MFO founded by former Soros Fund Management executives,78
Silvercrest Asset Management,MFO,,New York,NY,US,32,2002,,,Bloomberg,Publicly traded MFO; NYSE: SAMG; founded by alumni of Donaldson Lufkin and Jenrette,97
Fiduciary Trust International,MFO,,New York,NY,US,,1931,,,Bloomberg,One of the oldest US multi-family offices; now a subsidiary of Franklin Templeton,90
Summit Rock Advisors,MFO,,New York,NY,US,8,1997,,,Bloomberg,New York City boutique MFO; serves approximately 100 ultra-high-net-worth families,72
AlTi Tiedemann Global,MFO,,New York,NY,US,75,1999,,,Bloomberg,Publicly traded global MFO (NYSE: ALTI); formed from merger of Alvarium and Tiedemann Advisors,94
Aspirant,MFO,,Los Angeles,CA,US,16,2008,,,Bloomberg,West Coast MFO with offices in LA San Francisco and beyond,80
Cerity Partners,MFO,,New York,NY,US,90,2009,,,Bloomberg,Rapidly growing US MFO via acquisitions; now one of the largest independent wealth managers in the US,80
Hawthorn PNC Family Wealth,MFO,,Pittsburgh,PA,US,12,,,,Bloomberg,PNC Bank dedicated family office and ultra-high-net-worth wealth management subsidiary,85
TAG Associates,MFO,,New York,NY,US,10,1983,,,Bloomberg,New York City boutique MFO; long-standing independent operation,75
RMB Capital,MFO,,Chicago,IL,US,7,2005,,,Bloomberg,Chicago-based independent multi-family office,75
Stonehage Fleming,MFO,,London,,UK,65,1976,,,Bloomberg,One of the largest multi-family offices in the world; 15+ country footprint; originated in South Africa,92
LGT,MFO,Princely Family of Liechtenstein (origin),Vaduz,,Liechtenstein,330,1920,,,Bloomberg,Started as the Liechtenstein royal family investment office; now a major global private bank and family office serving external clients,97
Sandaire,MFO,,London,,UK,2,1996,,,Bloomberg,London-based boutique MFO; serves wealthy British and international families,78
Stenham Asset Management,MFO,,London,,UK,10,1987,,,Bloomberg,London-based MFO with a focus on hedge fund and alternative investment allocation,72
Sarasin and Partners,MFO,,London,,UK,,1832,,,Bloomberg,London private bank with deep family office roots; specializes in responsible investing for wealthy families,80
Northwood Family Office,MFO,,Toronto,Ontario,Canada,3,,,,Bloomberg,One of Canada larger independent multi-family offices,68
Tiedemann Advisors,MFO,,New York,NY,US,,1999,,,Bloomberg,Now merged into AlTi Tiedemann Global; listed for historical reference,90
Bhartiya Family Office,SFO,Sunil Mittal (Bharti Airtel),New Delhi,,India,,,,,Bloomberg,Bharti Airtel founder family investment vehicle; entity name uncertain,52
Hindawi Family Office,SFO,Hindawi Family,Cairo,,Egypt,,,,,Bloomberg,Egyptian publishing and investment family; entity name and structure poorly documented in English-language press,48
Al-Futtaim Family Office,SFO,Al-Futtaim Family,Dubai,,UAE,,,,,Bloomberg,Dubai-based trading and retail conglomerate family; manages diversified real estate and industrial investments,72
Majid Al Futtaim Family Office,SFO,Majid Al Futtaim,Dubai,,UAE,,,,,Bloomberg,UAE developer of Mall of the Emirates and City Centre malls; separate entity from Al-Futtaim group,75
Persson Family Office,SFO,Persson Family (H&M),Stockholm,,Sweden,,,,,Forbes,H&M fashion retail founding family; one of Sweden wealthiest families,73
Kamprad Family Office,SFO,Kamprad Family (IKEA),Zurich,,Switzerland,,,,,Forbes,IKEA founding family; managed from Switzerland; complex multi-entity structure through Ingka Group and Inter IKEA,80
Rausing Family Office,SFO,Rausing Family (Tetra Pak),Lausanne,,Switzerland,,,,,Forbes,Tetra Pak packaging founding family; among the wealthiest in Europe; managed via entities in UK and Switzerland,77
Ferrero Family Office,SFO,Ferrero Family (Nutella),Alba,,Italy,,,,,Forbes,Nutella and Ferrero Rocher founding family; one of Italy most secretive wealthy families,68
Bertelsmann Family Office,SFO,Mohn Family (Bertelsmann),Gutersloh,,Germany,,,,,Bloomberg,Media conglomerate founding family; Liz Mohn oversees family interests through family governance structures,72
Mulliez Family Office,SFO,Mulliez Family (Auchan),Roubaix,,France,,,,,Forbes,Auchan supermarket founding family; one of France wealthiest with complex family governance across 700+ family members,75
Desmarais Family Office,SFO,Desmarais Family (Power Corp),Montreal,Quebec,Canada,,,,,Bloomberg,Canadian media and financial services conglomerate family; manages assets through Power Corporation structure,82
Thomson Family Office,SFO,Thomson Family (Thomson Reuters),Toronto,Ontario,Canada,,,,,Forbes,Thomson Reuters founding family; David Thomson is among Canada wealthiest individuals,80
Kwok Family Office,SFO,Kwok Family (Sun Hung Kai),Hong Kong,,Hong Kong,,,,,Bloomberg,Hong Kong property developer family; Walter and Thomas Kwok successors to Sun Hung Kai Properties patriarch,72
Murdoch Family Office,SFO,Murdoch Family,New York,NY,US,,,,,Bloomberg,Rupert Murdoch family financial interests managed through family trust structures alongside News Corp and Fox Corp,68
Walmart Family Office (individual heirs),SFO,Individual Walton Heirs,Bentonville,AR,US,,,,,Forbes,Individual Walton heirs maintain separate investment offices alongside the family Walton Enterprises entity; Alice Walton Crystal Bridges Museum is one output,58
Simons Family Office,SFO,Jim Simons / Simons Family,New York,NY,US,,1982,,,Bloomberg,Renaissance Technologies founder; retained personal investment activities alongside Simons Foundation philanthropy,78
Tiger 21,MFO Network,,New York,NY,US,,1999,,,Research Report,Peer network and investment club for ultra-high-net-worth investors; not a family office itself but a key hiring and relationship network within the industry,98
Family Office Exchange (FOX),Industry Org,,Chicago,IL,US,,1989,,,Research Report,Primary industry association and conference network for family offices; key venue for hiring connections; cited in research as central to trust-based career pipeline,98
Agreus Group,Recruiter,,London,,UK,,2009,,,Research Report,Specialist family office recruiter; one of the few with transparent compensation and hiring data; frequently cited in Bloomberg and FT coverage,98
BlueCrest Capital Management,SFO,Michael Platt,London,,UK,58,2015,,,Bloomberg,Converted from hedge fund to family office in 2015 when Platt returned all outside investor capital; one of the largest SFOs in Europe by AUM,95
Paulson Family Office,SFO,John Paulson,New York,NY,US,,2020,,,Bloomberg,John Paulson returned outside investor capital and converted Paulson & Co. to a family office in 2020; famous for the 2007 subprime short trade,90
MacKenzie Scott,SFO,MacKenzie Scott,Seattle,WA,US,,2021,,,Bloomberg,Ex-wife of Jeff Bezos; manages personal wealth and Yield Giving philanthropy; among the largest individual philanthropists in US history,85
Omega Family Office,SFO,Leon Cooperman,Boca Raton,FL,US,,2018,,,Bloomberg,Leon Cooperman converted Omega Advisors hedge fund to a family office in 2018 after returning all outside investor capital,88
Agache,SFO,Bernard Arnault / Arnault Family (LVMH),Paris,,France,160,,,,Bloomberg,Bernard Arnault primary holding company and family office; controls LVMH stake through Agache and Christian Dior Couture holding chain,88
Al Maktoum Family Office,SFO,Al Maktoum Family,Dubai,,UAE,150,,,,Bloomberg,Ruling family of Dubai; personal wealth managed through various holding entities including real estate and investment vehicles; distinct from sovereign entities Dubai Investment Authority and Dubai World,60
Bayshore Global Management,SFO,Sergey Brin,Los Altos,CA,US,130,,,,Bloomberg,Google co-founder personal investment vehicle; manages personal wealth separate from Alphabet stake,88
Excession LLC,SFO,Elon Musk,Austin,TX,US,630,,,,Bloomberg,Elon Musk personal family office and investment vehicle; manages personal wealth separate from Tesla SpaceX and X Corp holdings,85
Wallenberg Investments,SFO,Wallenberg Family,Stockholm,,Sweden,165,,,,Bloomberg,Swedish banking and industrial dynasty primary holding vehicle; operates through Investor AB publicly listed entity; one of Europe's most powerful multigenerational family office structures,75
Ballmer Group,SFO,Steve Ballmer,Bellevue,WA,US,133,,,,Bloomberg,Former Microsoft CEO personal investment and philanthropy vehicle; manages LA Clippers NBA ownership stake alongside family investments,90
Royal Group,SFO,Al Nahyan Family (Abu Dhabi),Abu Dhabi,,UAE,95,,,,Bloomberg,Abu Dhabi ruling family private investment vehicle; distinct from sovereign entities ADIA and Mubadala; overseen by Sheikh Tahnoon bin Zayed Al Nahyan,72
Téthys SAS,SFO,Bettencourt Meyers Family (L'Oréal),Clichy,,France,110,,,,Bloomberg,L'Oréal founding family primary investment vehicle; Françoise Bettencourt Meyers is the wealthiest woman in the world; holds majority L'Oréal stake,92
H51 SAS,SFO,Dumas Family (Hermès),Paris,,France,105,,,,Bloomberg,Hermès founding family primary holding vehicle; controls approximately 66% of Hermès International; one of the most secretive luxury family offices in Europe,82
DFO Management,SFO,Michael Dell,New York,NY,US,50,,,,Bloomberg,Secondary Dell family investment vehicle; separate from MSD Capital; manages additional personal and alternative investments for the Dell family,72
Pontegadea Inversiones,SFO,Amancio Ortega (Zara / Inditex),A Coruña,,Spain,55,,,,Bloomberg,Zara and Inditex founder primary investment vehicle; focuses on global real estate including office towers and logistics assets,90
The Woodbridge Company,SFO,Thomson Family (Thomson Reuters),Toronto,Ontario,Canada,54,,,,Bloomberg,Named investment vehicle of the Thomson family; the actual legal entity name for Thomson family wealth management; David Thomson is among Canada's wealthiest individuals,90
Ambani Family Office,SFO,Mukesh Ambani (Reliance Industries),Mumbai,,India,47,,,,Bloomberg,Reliance Industries chairman family office arm; manages personal wealth separate from Reliance corporate structure; among India's largest private wealth pools,72
Athos KG,SFO,Würth Family,Künzelsau,,Germany,31,,,,Bloomberg,Würth Group fastener manufacturing founding family investment vehicle; one of Germany's wealthiest private families,80
Greylock Capital,SFO,Reid Hoffman,Menlo Park,CA,US,42,,,,Bloomberg,LinkedIn co-founder personal investment vehicle; entity name uncertain and may differ from confirmed sources; distinct from Greylock Partners VC firm,45
DeLaval Holdings,SFO,Rausing Family (Tetra Pak),London,,UK,38,,,,Bloomberg,Named Rausing family investment vehicle; manages specific industrial and private equity holdings; distinct named entity from Rausing Family Office entry,75
Grupo Carso,SFO,Carlos Slim Helú,Mexico City,,Mexico,60,,,,Bloomberg,Carlos Slim personal holding company and family office; controls América Móvil and diversified Mexican infrastructure and media assets,88
Boehringer Family Office,SFO,Boehringer / von Baumbach Family,Ingelheim,,Germany,65,,,,Bloomberg,Boehringer Ingelheim pharmaceutical founding family private investment vehicle; one of Germany's largest private family offices,78
FFP SAS,SFO,Meyers / Peugeot Family,Paris,,France,28,,,,Bloomberg,Peugeot automotive founding family primary investment vehicle; holds Stellantis stake and diversified international equity positions,85
LNM Holdings,SFO,Mittal Family (ArcelorMittal),London,,UK,24,,,,Bloomberg,Lakshmi Mittal and family primary personal investment vehicle; separate from ArcelorMittal corporate structure; one of the UK's largest private family offices,82
J. Safra Group,SFO,Safra Family,Geneva,,Switzerland,23,,,,Bloomberg,Brazilian-Swiss banking dynasty primary family investment vehicle; controls Banco J. Safra and diversified global portfolio,88
Rales Brothers Family Office,SFO,Rales Brothers (Danaher),Washington,DC,US,28,,,,Bloomberg,Steven and Mitchell Rales personal family office; co-founders of Danaher Corporation; manages personal wealth alongside Glenstone Museum philanthropy,82
Lemann Family Office,SFO,Jorge Paulo Lemann,Zurich,,Switzerland,27,,,,Bloomberg,Brazilian investor and 3G Capital co-founder personal family office; manages personal wealth from AB InBev Kraft Heinz and Burger King deals,85
Laurel Crown Partners,SFO,Tisch Family (Loews),New York,NY,US,20,,,,Bloomberg,Tisch family primary personal investment vehicle; founding family of Loews Corporation; among New York's most prominent multigenerational family offices,80
Empire Investment Holdings,SFO,Kwok Family (Sun Hung Kai),Hong Kong,,Hong Kong,68,,,,Bloomberg,Primary named investment vehicle for the Kwok family; Walter and Thomas Kwok successors to Sun Hung Kai Properties; distinct named entity from Kwok Family Office entry,72
KIRKBI A/S,SFO,Kirk Kristiansen Family (LEGO),Billund,,Denmark,24,1977,,,Bloomberg,LEGO founding family primary holding company and family office; controls LEGO Group and The LEGO Foundation; one of the largest family-controlled businesses in Europe,92
Euclidean Capital,SFO,Jim Simons,New York,NY,US,22,2011,,,Bloomberg,Named investment vehicle for Jim Simons personal wealth; separate from Renaissance Technologies; the actual named family office entity for the Simons family,88
Finter Bank,SFO,Von Finck Family,Zurich,,Switzerland,21,,,,Bloomberg,August von Finck Jr. family private investment vehicle; historically one of Germany's wealthiest families; banking and industrial assets,72
Hartono Family Office,SFO,Hartono Family (Djarum / Bank Central Asia),Jakarta,,Indonesia,21,,,,Bloomberg,Indonesia's wealthiest family; Djarum clove cigarette empire and Bank Central Asia stake; Budi and Michael Hartono,82
Weybourne Group,SFO,James Dyson,Singapore,,Singapore,18,,,,Bloomberg,James Dyson personal investment vehicle; the named legal entity for Dyson family wealth management; relocated from UK to Singapore in 2019; distinct from Dyson Family Office entry,82
Schwab Family Office,SFO,Charles Schwab,San Francisco,CA,US,18,,,,Bloomberg,Charles Schwab personal family office; manages personal wealth separate from the brokerage firm; significant philanthropic activity through Schwab Charitable Fund,75
Crosby Advisors,SFO,MacKenzie Scott,Seattle,WA,US,17,,,,Bloomberg,MacKenzie Scott named investment vehicle; manages personal wealth and Yield Giving philanthropic program; distinct named entity from MacKenzie Scott entry,78
XT Group,SFO,Idan Ofer,London,,UK,16,,,,Bloomberg,Israeli shipping and industrial billionaire primary family office; son of Sammy Ofer; diversified international holdings,75
Fingerboard Family Office,SFO,Newhouse Family (Advance Publications),New York,NY,US,19,,,,Bloomberg,Newhouse family media empire investment vehicle; Advance Publications owns Condé Nast and a Reddit stake; one of the wealthiest private media families in the US,72
Haniel Family Office,SFO,Haniel Family,Duisburg,,Germany,16,,,,Bloomberg,Franz Haniel family one of Germany's oldest trading dynasties; holds stakes in Bekaert and other European industrial companies,78
Builders Vision,SFO,Lukas Walton,Chicago,IL,US,15,,,,Bloomberg,Lukas Walton personal family office and investment vehicle; grandson of Sam Walton; focuses on impact investing and food systems; distinct from Walton Enterprises,88
Vulcan Capital,SFO,Paul Allen Estate,Seattle,WA,US,11,1986,,,Bloomberg,Paul Allen Microsoft co-founder investment vehicle; now managed as an estate office following Allen's death in 2018; manages Vulcan Inc. assets and Allen estate,85
Access Industries,SFO,Len Blavatnik,New York,NY,US,11,,,,Bloomberg,Len Blavatnik primary investment vehicle; owns Warner Music Group and Atlantic Records; one of the largest European-origin family offices in the US,88
Blue Pool Capital,SFO,Jack Ma / Joseph Tsai (Alibaba),Hong Kong,,Hong Kong,14,,,,Bloomberg,Investment vehicle associated with Alibaba co-founders Jack Ma and Joseph Tsai; manages personal wealth through Hong Kong-based family office structure,72
Abdul Latif Jameel,SFO,Jameel Family,Jeddah,,Saudi Arabia,14,,,,Bloomberg,Saudi diversified family holding company; exclusive Toyota distributor in Saudi Arabia; one of the Middle East's most prominent private family conglomerates,85
Lundbeck Foundation,SFO,Lundbeck Family,Copenhagen,,Denmark,14,,,,Bloomberg,H. Lundbeck pharmaceutical founding family investment entity; majority shareholder of H. Lundbeck A/S; structured as a foundation with controlling family office function,80
CP Group,SFO,Chearavanont Family (Charoen Pokphand),Bangkok,,Thailand,10,,,,Bloomberg,Charoen Pokphand Group founding family investment vehicle; one of Asia's largest conglomerates spanning agribusiness telecom and retail,72
Catapult Capital,SFO,Stanley Druckenmiller,Pittsburgh,PA,US,10,,,,Bloomberg,Secondary Druckenmiller investment vehicle; separate from Duquesne Family Office; entity name and details not confirmed in primary sources,62
INEOS Family Office,SFO,Jim Ratcliffe (INEOS),Monaco,,Monaco,10,,,,Bloomberg,Jim Ratcliffe INEOS chemicals billionaire personal family office; relocated from UK to Monaco; manages Manchester United partial ownership stake and personal investments,80
Citic Capital,SFO,Yung Family (CITIC),Hong Kong,,Hong Kong,10,,,,Bloomberg,Yung family investment vehicle historically associated with CITIC Group; Larry Yung family holdings; entity classification as family office is approximate,52
Bronfman Family Office,SFO,Bronfman Family (Seagram),New York,NY,US,10,,,,Bloomberg,Seagram spirits founding family multigenerational family office; Edgar Bronfman Sr. and Jr. successors; manages wealth from the 1994 Seagram sale to Vivendi and subsequent investments,72
Fidelity Family Office,SFO,Johnson Family (Fidelity Investments),Boston,MA,US,10,,,,Bloomberg,Fidelity Investments founding Johnson family personal wealth management vehicle; Abigail Johnson oversees both Fidelity operations and family capital; among Boston's largest private family offices,78
Tiger Global Management,SFO,Chase Coleman,New York,NY,US,10,,,,Bloomberg,Chase Coleman investment vehicle transitioning toward family capital focus; Tiger Cub fund seeded by Julian Robertson; note: still manages significant outside investor capital,55
RZC Investments,SFO,Rob Walton,Scottsdale,AZ,US,10,,,,Bloomberg,Rob Walton personal family office and investment vehicle; eldest son of Sam Walton; owns Denver Broncos NFL team; distinct from Walton Enterprises,82
Becht Family Office,SFO,Bart Becht,London,,UK,14,,,,Bloomberg,Former Reckitt Benckiser CEO personal family office; manages European equities and private investments,72
Carlsberg Foundation,SFO,Jacobsen Family (Carlsberg),Copenhagen,,Denmark,12,,,,Bloomberg,Carlsberg brewery founding Jacobsen family investment foundation; primary shareholder of Carlsberg A/S; structured as a foundation with controlling ownership function,80
Dubai Holding,SFO,Al Maktoum Family,Dubai,,UAE,35,,,,Bloomberg,Distinct named investment conglomerate controlled by Sheikh Mohammed bin Rashid Al Maktoum; manages real estate media and hospitality assets; separate from Al Maktoum Family Office entry,78
Koch Disruptive Technologies,SFO,Koch Family,Wichita,KS,US,15,,,,Bloomberg,Koch family venture and technology investment vehicle; separate from 1888 Management; focuses on disruptive technology bets and growth equity,80
Koch Family Office,SFO,Koch Family,Wichita,KS,US,145,,,,Bloomberg,Consolidated Koch family wealth management entity; AUM estimate reflects total Koch family wealth across all vehicles including 1888 Management and Koch Disruptive Technologies,65
Dalio Family Office,SFO,Ray Dalio,Singapore,,Singapore,15,,,,Research Report,Bridgewater Associates founder personal family office; Singapore office established circa 2020; acquired Club Street shophouses 2021; separate Abu Dhabi hub opened 2023,75
Oppenheimer Generations Asia,SFO,Nicky Oppenheimer / Jonathan Oppenheimer,Singapore,,Singapore,10,2021,,,Research Report,South African diamond dynasty; wealth origin is De Beers/Anglo American stake sold in 2012 for $5.1B; Singapore office established 2021; led by Edoardo Collevecchio,85
Wee Investments Pte. Ltd.,SFO,Wee Cho Yaw Family (UOB),Singapore,,Singapore,5,1967,,,Research Report,Founding family of United Overseas Bank; Wee Cho Yaw served as UOB chairman/CEO from 1974; wealth origin is banking and property; Wee Cho Yaw died in 2024,85
